seed1;seed2;Data_Loss;Physics_Loss;BC_Loss;E_max_diff;R2
33;22;4,97237761010183e-06;2,161988277293858e-06;8,370012437808327e-06;16384,0;0,9968001384520427
57;67;4,743289537145756e-06;3,518122184686945e-07;1,0057826330012176e-05;16384,0;0,9968852980414926
94;44;4,801132490683813e-06;1,1722917179213255e-06;8,692513802088797e-06;16384,0;0,9969269260437575
16;84;6,796436082368018e-06;4,128690306970384e-06;8,78279661264969e-06;0,0;0,995587462618104
63;70;6,439379831135739e-06;1,5584780612698523e-06;9,987941666622646e-06;0,0;0,9957460962600212
9;31;9,899158612824976e-05;0,00010951064177788794;0,01639765501022339;157391810000,0;0,9367835405918968
77;84;6,158315954962745e-06;2,0559759832394775e-06;8,020838322408963e-06;0,0;0,9960540908553159
43;81;6,786186077079037e-06;8,104470339276304e-07;8,820772563922219e-06;16384,0;0,9956020520994309
85;39;8,15674320620019e-06;1,1856321862069308e-06;7,5471675700100604e-06;0,0;0,9947721892139253
90;29;6,318497980828397e-06;6,492864486062899e-07;1,3482106623996515e-05;0,0;0,9959175955159708
24;68;6,182954166433774e-06;2,21440154746233e-06;9,742773727339227e-06;0,0;0,9959220909298611
64;14;5,583417532761814e-06;5,302846943777695e-07;4,666193490265869e-06;16384,0;0,9964437387432201
84;20;6,6270176830585115e-06;2,758393520707614e-06;7,2431676017004065e-06;0,0;0,9957939892383382
81;0;5,191574928176124e-06;1,3381292092162766e-06;1,1825832189060748e-05;0,0;0,996646991074659
80;79;5,761587999586482e-06;2,4609032607258996e-06;7,971017112140544e-06;0,0;0,9962437700975497
78;67;5,32684362042346e-06;5,18711374297709e-07;8,649478331790306e-06;0,0;0,9965239012424069
47;71;5,638503807858797e-06;1,273499833587266e-06;5,9185890677326825e-06;16384,0;0,9963682558392377
27;78;6,002760073897662e-06;5,593916739599081e-06;7,544507298007375e-06;0,0;0,9961319107826858
56;46;6,128306267783046e-06;9,181031259686279e-07;9,30927853914909e-06;0,0;0,9959809753655122
51;57;7,567860393464798e-06;9,241858265340852e-07;8,227696525864303e-06;0,0;0,9950935126817692
3;14;7,174190159275895e-06;9,0427528220971e-07;4,446194452611962e-06;16384,0;0,9953427506366556
24;11;6,184508038131753e-06;1,4413651570066577e-06;1,016474016068969e-05;0,0;0,9959210661685054
44;67;5,4056035878602415e-06;5,683384074472997e-07;8,10320216260152e-06;0,0;0,9964761396893907
66;47;6,185854545037728e-06;8,269187787846022e-07;8,380049621337093e-06;0,0;0,9960048250047852
86;57;6,605783255508868e-06;1,4131003808870446e-05;7,197912964329589e-06;0,0;0,9957056446380619
7;77;4,766710844705813e-06;1,1475630117274704e-06;8,424724910582881e-06;16384,0;0,9969496065886506
58;64;5,6160952226491645e-06;1,4534900856233435e-06;6,875949566165218e-06;0,0;0,9964207192891987
57;55;4,738440566143254e-06;1,2103671451768605e-06;6,9706220529042184e-06;0,0;0,9968884816353227
80;30;5,762618911830941e-06;2,651571094247629e-06;8,134163181239273e-06;0,0;0,9962430989780416
60;3;6,141357516753487e-06;1,358729036837758e-06;9,11191000341205e-06;0,0;0,9959713562944059
35;44;6,894701982673723e-06;1,160641204478452e-06;9,706460332381539e-06;0,0;0,9955119362888728
99;21;4,700656063505448e-06;1,1508839179441566e-06;6,408112767530838e-06;0,0;0,9969229784413856
27;41;6,008581294736359e-06;2,4803528049233137e-06;8,762079232838005e-06;0,0;0,9961281594166229
100;86;5,909119408897823e-06;2,56500447903818e-06;9,897016752802301e-06;0,0;0,9961327997707624
3;23;7,187430128396954e-06;2,392172973486595e-06;6,7034347921435256e-06;0,0;0,9953341543444102
82;5;6,52965672998107e-06;9,152179814009287e-07;8,998335033538751e-06;0,0;0,9957381879709302
86;28;6,598249910894083e-06;1,0534670309425564e-06;5,868684638699051e-06;0,0;0,9957105421795166
